[2019-11-20 18:41:04] [INFO   ] testuser-10863: Server beginning handshake with testuser-10734 
[2019-11-20 18:41:04] [INFO   ] testuser-10863: Client ending handshake with testuser-10734 
[2019-11-20 18:41:04] [INFO   ] testuser-10863: New peer 'testuser-10734' has been confirmed 
[2019-11-20 18:41:04] [INFO   ] testuser-10863: Server ending handshake with testuser-10734 
[2019-11-20 18:41:04] [INFO   ] testuser-10863: Client ending handshake with testuser-10734 
[2019-11-20 18:41:04] [INFO   ] testuser-10863: Server ending handshake with testuser-10734 
[2019-11-20 18:41:04] [INFO   ] testuser-10863: Client ending handshake with testuser-10734 
[2019-11-20 18:41:04] [INFO   ] testuser-10863: Server beginning handshake with testuser-10734 
[2019-11-20 18:41:04] [INFO   ] testuser-10863: Server beginning handshake with testuser-10734 
[2019-11-20 18:41:04] [INFO   ] testuser-10863: Server ending handshake with testuser-10734 
[2019-11-20 18:41:04] [INFO   ] testuser-10863: Server ending handshake with testuser-10734 
[2019-11-20 18:41:04] [INFO   ] testuser-10863: Server ending handshake with testuser-10734 
[2019-11-20 18:41:04] [INFO   ] testuser-10863: Client ending handshake with testuser-10734 
[2019-11-20 18:41:04] [INFO   ] testuser-10863: Client ending handshake with testuser-10734 
[2019-11-20 18:41:04] [INFO   ] testuser-10863: Attempting to connect to IP: localhost, port: 10765 
[2019-11-20 18:41:04] [INFO   ] testuser-10863: Connected to IP: localhost, port: 10765 
[2019-11-20 18:41:04] [INFO   ] testuser-10863: Server beginning handshake with testuser-10765 
[2019-11-20 18:41:04] [INFO   ] testuser-10863: Client starting handshake 
[2019-11-20 18:41:04] [INFO   ] testuser-10863: Attempting to connect to IP: localhost, port: 10765 
[2019-11-20 18:41:04] [INFO   ] testuser-10863: Connected to IP: localhost, port: 10765 
[2019-11-20 18:41:04] [INFO   ] testuser-10863: Attempting to connect to IP: localhost, port: 10765 
[2019-11-20 18:41:04] [INFO   ] testuser-10863: Connected to IP: localhost, port: 10765 
[2019-11-20 18:41:04] [INFO   ] testuser-10863: Attempting to connect to IP: localhost, port: 10765 
[2019-11-20 18:41:04] [INFO   ] testuser-10863: Connected to IP: localhost, port: 10765 
[2019-11-20 18:41:05] [INFO   ] testuser-10863: Attempting to connect to IP: localhost, port: 10765 
[2019-11-20 18:41:05] [INFO   ] testuser-10863: Connected to IP: localhost, port: 10765 
[2019-11-20 18:41:05] [INFO   ] testuser-10863: Server ending handshake with testuser-10765 
[2019-11-20 18:41:05] [INFO   ] testuser-10863: New peer 'testuser-10765' has been confirmed 
[2019-11-20 18:41:05] [INFO   ] testuser-10863: Client ending handshake with testuser-10765 
[2019-11-20 18:41:05] [INFO   ] testuser-10863: Server beginning handshake with testuser-10765 
[2019-11-20 18:41:05] [INFO   ] testuser-10863: Server ending handshake with testuser-10765 
[2019-11-20 18:41:05] [INFO   ] testuser-10863: Client starting handshake 
[2019-11-20 18:41:05] [INFO   ] testuser-10863: Client starting handshake 
[2019-11-20 18:41:05] [INFO   ] testuser-10863: Client starting handshake 
[2019-11-20 18:41:05] [INFO   ] testuser-10863: Client starting handshake 
[2019-11-20 18:41:05] [INFO   ] testuser-10863: Server beginning handshake with testuser-10765 
[2019-11-20 18:41:05] [INFO   ] testuser-10863: Client ending handshake with testuser-10765 
[2019-11-20 18:41:05] [INFO   ] testuser-10863: Client ending handshake with testuser-10765 
[2019-11-20 18:41:05] [INFO   ] testuser-10863: Server ending handshake with testuser-10765 
[2019-11-20 18:41:05] [INFO   ] testuser-10863: Server beginning handshake with testuser-10765 
[2019-11-20 18:41:05] [INFO   ] testuser-10863: Server ending handshake with testuser-10765 
[2019-11-20 18:41:05] [INFO   ] testuser-10863: Client ending handshake with testuser-10765 
[2019-11-20 18:41:06] [INFO   ] testuser-10863: Client ending handshake with testuser-10765 
[2019-11-20 18:41:06] [INFO   ] testuser-10863: Attempting to connect to IP: localhost, port: 10129 
[2019-11-20 18:41:06] [INFO   ] testuser-10863: Connected to IP: localhost, port: 10129 
[2019-11-20 18:41:06] [INFO   ] testuser-10863: Server beginning handshake with testuser-10129 
[2019-11-20 18:41:06] [INFO   ] testuser-10863: Client starting handshake 
